axis,bin,rows,players,corr_record,corr_pedigree,w_record_optimal,ped_weight_optimal,ped_wt_lo95,ped_wt_hi95,engine_record_wt,engine_ped_wt
nqual,0,1094,637,0.307,0.109,0.164,0.836,0.782,0.888,NA,NA
nqual,1,1160,893,0.552,0.144,0.594,0.406,0.337,0.475,0.25,0.75
nqual,2,925,777,0.656,0.192,0.84,0.16,0.097,0.226,0.50,0.50
nqual,3,799,698,0.699,0.264,0.889,0.111,0.045,0.19,0.75,0.25
nqual,4,727,629,0.77,0.398,0.893,0.107,0.041,0.173,1.00,0.00
nqual,5,600,531,0.81,0.477,0.873,0.127,0.071,0.184,1.00,0.00
nqual,6+,2012,465,0.762,0.38,0.693,0.307,0.268,0.355,1.00,0.00
games,1-20,1674,998,0.412,0.145,0.23,0.77,,,,
games,21-40,1109,813,0.597,0.154,0.712,0.288,,,,
games,41-70,1294,770,0.705,0.217,0.905,0.095,,,,
games,71-110,1319,638,0.783,0.432,0.878,0.122,,,,
games,111-160,1036,442,0.798,0.458,0.735,0.265,,,,
games,161-999,885,258,0.739,0.303,0.652,0.348,,,,
