pos,pickband,n,mean_resid,ci_lo,ci_hi,note,support
RUC,01-06,2,-1.163,,,~fair,thin
RUC,07-12,1,-2.471,,,~fair,thin
RUC,13-20,1,1.875,,,~fair,thin
RUC,21-34,5,1.19,-0.252,2.215,~fair,thin
RUC,35-50,7,0.367,-0.73,1.551,~fair,thin
RUC,51-70,13,-0.54,-1.635,0.535,~fair,indicative
MID,01-06,31,0.856,0.558,1.141,OVER(+),firm
MID,07-12,12,-0.028,-0.549,0.382,~fair,indicative
MID,13-20,13,0.089,-0.701,0.835,~fair,indicative
MID,21-34,17,0.138,-0.685,0.849,~fair,indicative
MID,35-50,12,-0.135,-0.868,0.567,~fair,indicative
MID,51-70,20,-0.977,-2.002,0.059,~fair,indicative
GEN_DEF,01-06,2,0.836,,,~fair,thin
GEN_DEF,07-12,7,-0.326,-1.428,0.753,~fair,thin
GEN_DEF,13-20,5,-0.295,-1.975,1.081,~fair,thin
GEN_DEF,21-34,5,0.603,-0.06,1.266,~fair,thin
GEN_DEF,35-50,4,-0.07,-2.012,1.213,~fair,thin
GEN_DEF,51-70,19,0.485,-0.404,1.187,~fair,indicative
GEN_FWD,01-06,9,0.405,-0.339,1.199,~fair,thin
GEN_FWD,07-12,4,-0.391,-2.562,1.061,~fair,thin
GEN_FWD,13-20,4,0.341,-0.941,1.396,~fair,thin
GEN_FWD,21-34,4,1.141,0.156,2.093,OVER(+),thin
GEN_FWD,35-50,11,0.427,-0.413,1.118,~fair,thin
GEN_FWD,51-70,14,0.187,-0.8,1.161,~fair,indicative
KEY_DEF,01-06,2,1.016,,,~fair,thin
KEY_DEF,07-12,4,-0.303,-0.58,-0.027,UNDER(-),thin
KEY_DEF,13-20,3,0.19,-1.857,2.109,~fair,thin
KEY_DEF,21-34,2,0.618,,,~fair,thin
KEY_DEF,35-50,4,-1.858,-3.045,0.299,~fair,thin
KEY_DEF,51-70,12,-0.915,-2.211,0.387,~fair,indicative
KEY_FWD,01-06,7,-0.291,-1.313,0.813,~fair,thin
KEY_FWD,07-12,7,0.307,-1.288,1.707,~fair,thin
KEY_FWD,13-20,2,0.079,,,~fair,thin
KEY_FWD,21-34,6,-0.284,-1.926,1.248,~fair,thin
KEY_FWD,35-50,4,-0.173,-2.307,1.441,~fair,thin
KEY_FWD,51-70,15,-0.413,-1.714,0.828,~fair,indicative
