variant,value,cond30_n,cond30_h_lower,cond30_h_upper,cond30_dL_mean,unc30_h_lower,unc30_dL_mean,delta_h_lower(cond-unc)
primary,trail2/eps3/gq8/mp3,133,0.5414,0.6303,-4.0636,0.5128,-3.1217,0.0286
rule,last,203,0.5172,0.6187,-3.4343,0.5128,-3.1217,0.0044
rule,peak,74,0.5811,0.663,-5.0346,0.5128,-3.1217,0.0683
rule,strict,82,0.5244,0.6422,-3.785,0.5128,-3.1217,0.0116
eps,2.0,110,0.6273,0.7007,-4.3163,0.574,-3.1217,0.0533
eps,5.0,167,0.4671,0.5822,-4.2249,0.4031,-3.1217,0.064
eps,rel4pct,141,0.5319,0.614,-4.4886,0.5102,-3.1217,0.0217
gq,6,143,0.5455,0.6264,-4.192,0.5202,-3.3103,0.0253
gq,10,123,0.561,0.6516,-4.4249,0.5226,-3.1706,0.0384
min_prior,2,135,0.5407,0.6287,-4.0772,0.5101,-3.1086,0.0306
min_prior,4,133,0.5414,0.6303,-4.0636,0.5103,-3.1593,0.0311
