player,pos,_by,season,age,games,raw_avg,Lc_demonstrated,qualifying,flat_or_rising_here,cond_h_lower_smoothed,cond_dL_mean_smoothed,engine_s_age,note
Max Gawn,RUC,1991,2011,20,4,54.8,54.8,0,,,,0.9154,below qual bar
Max Gawn,RUC,1991,2013,22,13,67.2,67.087,1,,,,0.7892,
Max Gawn,RUC,1991,2014,23,9,63.2,64.2559,1,,,,0.7008,
Max Gawn,RUC,1991,2015,24,13,102.1,96.1091,1,,,,0.5991,
Max Gawn,RUC,1991,2016,25,22,118.5,115.7843,1,,,,0.4896,
Max Gawn,RUC,1991,2017,26,13,91.6,99.6174,1,,,,0.3778,
Max Gawn,RUC,1991,2018,27,25,124.7,121.4454,1,,,,0.2659,
Max Gawn,RUC,1991,2019,28,21,128.4,126.7187,1,,,,0.1506,
Max Gawn,RUC,1991,2020,29,14,139.9,135.5458,1,RISING,0.5116,-3.2676,0.3793,
Max Gawn,RUC,1991,2021,30,25,120.5,122.6188,1,declining,0.5122,-3.3557,0.0,
Max Gawn,RUC,1991,2022,31,22,114.5,116.3986,1,declining,0.5179,-3.5356,0.0,
Max Gawn,RUC,1991,2023,32,22,106.2,108.5152,1,declining,0.5372,-3.9229,0.0,
Max Gawn,RUC,1991,2024,33,21,124.1,120.4305,1,RISING,0.5764,-4.649,0.0,
Max Gawn,RUC,1991,2025,34,23,127.4,125.9459,1,,0.6307,-5.7163,0.0,
Max Gawn,RUC,1991,2026,35,14,126.8,126.505,1,,0.6783,-6.7552,0.0,partial 2026 (right-censored; so-far only)
Marcus Bontempelli,MID,1995,2014,19,16,78.6,78.6,1,,,,0.9154,
Marcus Bontempelli,MID,1995,2015,20,21,103.8,100.3135,1,,,,0.9154,
Marcus Bontempelli,MID,1995,2016,21,26,108.7,107.2898,1,,,,0.8608,
Marcus Bontempelli,MID,1995,2017,22,22,105.1,105.6437,1,,,,0.7892,
Marcus Bontempelli,MID,1995,2018,23,19,104.0,104.4333,1,,,,0.7008,
Marcus Bontempelli,MID,1995,2019,24,23,113.4,111.652,1,,,,0.5991,
Marcus Bontempelli,MID,1995,2020,25,18,113.4,112.9214,1,,,,0.4896,
Marcus Bontempelli,MID,1995,2021,26,26,119.5,118.4108,1,,,,0.3778,
Marcus Bontempelli,MID,1995,2022,27,22,116.7,117.1237,1,,,,0.2659,
Marcus Bontempelli,MID,1995,2023,28,23,129.7,126.9223,1,,,,0.1506,
Marcus Bontempelli,MID,1995,2024,29,24,123.8,124.4723,1,FLAT/UP,0.5116,-3.2676,0.3793,
Marcus Bontempelli,MID,1995,2025,30,18,130.6,128.8271,1,,0.5122,-3.3557,0.0,
Marcus Bontempelli,MID,1995,2026,31,14,119.0,121.9809,1,,0.5179,-3.5356,0.0,partial 2026 (right-censored; so-far only)
Timothy English,RUC,1997,2017,20,2,35.0,35.0,0,,,,0.9154,below qual bar
Timothy English,RUC,1997,2018,21,7,63.6,62.7632,0,,,,0.8608,below qual bar
Timothy English,RUC,1997,2019,22,20,82.7,81.6208,1,,,,0.7892,
Timothy English,RUC,1997,2020,23,18,102.1,97.7346,1,,,,0.7008,
Timothy English,RUC,1997,2021,24,22,87.0,88.9616,1,,,,0.5991,
Timothy English,RUC,1997,2022,25,16,105.4,100.6352,1,,,,0.4896,
Timothy English,RUC,1997,2023,26,23,128.0,123.3906,1,,,,0.3778,
Timothy English,RUC,1997,2024,27,23,107.1,110.5692,1,,,,0.2659,
Timothy English,RUC,1997,2025,28,23,111.0,110.9042,1,,,,0.1506,
Timothy English,RUC,1997,2026,29,9,99.0,104.8646,1,,0.5116,-3.2676,0.3793,partial 2026 (right-censored; so-far only)
Isaac Heeney,MID,1996,2015,19,14,68.6,68.6,1,,,,0.9154,
Isaac Heeney,MID,1996,2016,20,24,82.1,80.7051,1,,,,0.9154,
Isaac Heeney,MID,1996,2017,21,20,96.7,92.8886,1,,,,0.8608,
Isaac Heeney,MID,1996,2018,22,22,96.1,95.4312,1,,,,0.7892,
Isaac Heeney,MID,1996,2019,23,22,94.0,94.3167,1,,,,0.7008,
Isaac Heeney,MID,1996,2020,24,6,94.0,94.1971,0,,,,0.5991,below qual bar
Isaac Heeney,MID,1996,2021,25,21,84.6,85.555,1,,,,0.4896,
Isaac Heeney,MID,1996,2022,26,25,97.5,95.4875,1,,,,0.3778,
Isaac Heeney,MID,1996,2023,27,23,84.1,86.7207,1,,,,0.2659,
Isaac Heeney,MID,1996,2024,28,24,115.0,108.8531,1,,,,0.1506,
Isaac Heeney,MID,1996,2025,29,23,109.7,109.5033,1,,0.5116,-3.2676,0.3793,
Isaac Heeney,MID,1996,2026,30,12,123.9,118.1478,1,,0.5122,-3.3557,0.0,partial 2026 (right-censored; so-far only)
Bailey Dale,GDEF,1996,2015,19,10,31.3,31.3,1,,,,0.9154,
Bailey Dale,GDEF,1996,2016,20,4,48.8,38.7253,0,,,,0.9154,below qual bar
Bailey Dale,GDEF,1996,2017,21,16,67.4,64.4498,1,,,,0.8608,
Bailey Dale,GDEF,1996,2018,22,10,57.4,60.3603,1,,,,0.7892,
Bailey Dale,GDEF,1996,2019,23,10,67.2,64.6262,1,,,,0.7008,
Bailey Dale,GDEF,1996,2020,24,9,55.6,59.1523,1,,,,0.5991,
Bailey Dale,GDEF,1996,2021,25,26,92.3,88.0118,1,,,,0.4896,
Bailey Dale,GDEF,1996,2022,26,23,101.0,96.876,1,,,,0.3778,
Bailey Dale,GDEF,1996,2023,27,23,90.8,92.8597,1,,,,0.2659,
Bailey Dale,GDEF,1996,2024,28,24,96.7,95.4145,1,,,,0.1506,
Bailey Dale,GDEF,1996,2025,29,23,102.5,99.9751,1,,0.5116,-3.2676,0.3793,
Bailey Dale,GDEF,1996,2026,30,14,99.0,99.4897,1,,0.5122,-3.3557,0.0,partial 2026 (right-censored; so-far only)
