key,name,afl_club,affl_team,position,before,after,delta,before_rank,after_rank,rank_change,before_plus1,after_plus1,delta_plus1,before_plus1_rank,after_plus1_rank,plus1_rank_change,before_plus2,after_plus2,delta_plus2,before_plus2_rank,after_plus2_rank,plus2_rank_change,stalled_fire_population,staleness_grade,current_season_qualifies,current_games,current_average,tenure,qualifying_seasons,cap_onset
phoenix-gothard,Phoenix Gothard,GWS,Hawthorn Hawks,GEN_FWD,410,1852,1442,415,135,280,367,953,586,410,219,191,367,953,586,384,204,180,True,1.0,True,15.0,68.78,3,1,3
jai-serong,Jai Serong,Sydney,North Melbourne Kangaroos,GEN_DEF,116,894,778,639,256,383,116,243,127,607,502,105,116,243,127,594,481,113,True,1.0,True,17.0,73.65,5,1,3
billy-wilson,Billy Wilson,Carlton,Western Bulldogs,GEN_DEF,174,849,675,592,268,324,155,579,424,576,319,257,155,579,424,562,293,269,True,1.0,True,10.0,72.0,3,1,3
max-heath,Max Heath,Melbourne,Sydney Swans,RUC,210,722,512,555,300,255,208,442,234,530,374,156,208,442,234,507,348,159,True,1.0,True,7.0,51.4,6,1,4
cooper-lord,Cooper Lord,Carlton,Western Bulldogs,MID,226,723,497,540,298,242,96,137,41,633,590,43,96,137,41,610,576,34,True,0.59452,False,4.0,76.78,3,1,3
oscar-steene,Oscar Steene,Collingwood,Adelaide Crows,RUC,310,612,302,483,333,150,275,418,143,473,386,87,275,418,143,449,363,86,True,1.0,True,8.0,51.6,4,1,4
james-leake,James Leake,GWS,Hawthorn Hawks,GEN_DEF,282,544,262,498,366,132,410,410,0,388,392,-4,410,410,0,363,367,-4,True,1.0,True,5.0,53.6,3,1,3
jai-culley,Jai Culley,Melbourne,Western Bulldogs,MID,78,262,184,687,521,166,77,77,0,658,659,-1,77,77,0,638,639,-1,True,1.0,True,7.0,63.2,5,1,3
will-lorenz,Will Lorenz,Port Adelaide,Richmond Tigers,MID,281,419,138,501,419,82,182,271,89,547,479,68,182,271,89,530,454,76,True,0.42015,False,1.0,52.0,3,1,3
ashton-moir,Ashton Moir,Carlton,St Kilda Saints,GEN_FWD,224,297,73,542,498,44,176,176,0,554,556,-2,176,176,0,536,538,-2,True,0.41969,False,2.0,46.0,3,1,3
riley-hardeman,Riley Hardeman,North Melbourne,Sydney Swans,GEN_DEF,247,317,70,528,483,45,177,177,0,553,555,-2,177,177,0,535,537,-2,True,0.25789,False,4.0,37.75,3,1,3
billy-dowling,Billy Dowling,Adelaide,Essendon Bombers,GEN_FWD,124,192,68,634,583,51,121,121,0,599,601,-2,121,121,0,588,590,-2,True,0.1883,False,1.0,51.0,4,1,3
tom-hanily,Tom Hanily,Sydney,Richmond Tigers,GEN_FWD,106,158,52,654,611,43,72,97,25,666,635,31,72,97,25,644,612,32,True,0.44972,False,4.0,47.5,3,1,3
will-edwards,Will Edwards,Sydney,Essendon Bombers,KEY_DEF,220,255,35,547,530,17,220,220,0,519,523,-4,220,220,0,496,500,-4,True,1.0,True,11.0,55.63,4,1,4
sandy-brock,Sandy Brock,West Coast,Sydney Swans,KEY_DEF,201,235,34,563,544,19,199,199,0,535,538,-3,199,199,0,516,519,-3,True,0.42196,False,4.0,44.5,5,1,4
isaac-keeler,Isaac Keeler,St Kilda,Hawthorn Hawks,KEY_FWD,313,337,24,479,460,19,210,210,0,528,532,-4,199,199,0,515,518,-3,True,0.35231,False,2.0,39.5,4,1,4
will-mclachlan,Will McLachlan,Brisbane,Free agents,GEN_FWD,116,137,21,640,630,10,83,98,15,650,633,17,83,98,15,632,611,21,True,0.25789,False,1.0,28.0,3,1,3
shadeau-brain,Shadeau Brain,Brisbane,Essendon Bombers,GEN_DEF,80,94,14,685,671,14,78,78,0,657,658,-1,68,68,0,652,652,0,True,0.17663,False,2.0,54.5,4,1,3
